Type,Severity,StartTime(UTC),EndTime(UTC),Road/Highway,County,ZipCode
Fog,Severe,2/21/2019 2:05,2/21/2019 2:13,US/Eastern Frisco,Dare,27936
Fog,Severe,2/21/2019 3:07,2/21/2019 3:30,US/Eastern Frisco,Dare,27936
Fog,Severe,2/21/2019 4:32,2/21/2019 11:13,US/Eastern Frisco,Dare,27936
Fog,Severe,2/21/2019 12:08,2/21/2019 12:51,US/Eastern Frisco,Dare,27936
Fog,Severe,2/21/2019 14:15,2/21/2019 17:34,US/Eastern Frisco,Dare,27936
Fog,Severe,2/21/2019 17:41,2/21/2019 18:14,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/21/2019 18:14,2/21/2019 18:40,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/21/2019 19:29,2/21/2019 20:06,US/Eastern Frisco,Dare,27936
Fog,Severe,2/21/2019 20:06,2/21/2019 20:28,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/21/2019 20:28,2/21/2019 21:51,US/Eastern Frisco,Dare,27936
Fog,Severe,2/21/2019 21:51,2/21/2019 23:46,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/22/2019 5:33,2/22/2019 5:42,US/Eastern Frisco,Dare,27936
Rain,Light,2/22/2019 8:12,2/22/2019 9:51,US/Eastern Frisco,Dare,27936
Rain,Light,2/22/2019 10:51,2/22/2019 11:51,US/Eastern Frisco,Dare,27936
Rain,Light,2/22/2019 15:51,2/22/2019 17:51,US/Eastern Frisco,Dare,27936
Rain,Light,2/22/2019 18:31,2/22/2019 20:29,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/22/2019 20:29,2/22/2019 20:51,US/Eastern Frisco,Dare,27936
Rain,Light,2/22/2019 21:20,2/22/2019 22:03,US/Eastern Frisco,Dare,27936
Rain,Light,2/23/2019 0:06,2/23/2019 1:51,US/Eastern Frisco,Dare,27936
Rain,Light,2/23/2019 2:51,2/23/2019 3:51,US/Eastern Frisco,Dare,27936
Rain,Light,2/23/2019 5:04,2/23/2019 8:51,US/Eastern Frisco,Dare,27936
Rain,Light,2/23/2019 9:51,2/23/2019 10:20,US/Eastern Frisco,Dare,27936
Rain,Light,2/23/2019 10:51,2/23/2019 11:34,US/Eastern Frisco,Dare,27936
Rain,Light,2/23/2019 12:16,2/23/2019 12:51,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/23/2019 12:51,2/23/2019 13:14,US/Eastern Frisco,Dare,27936
Rain,Light,2/23/2019 13:14,2/23/2019 13:51,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/23/2019 13:51,2/23/2019 18:51,US/Eastern Frisco,Dare,27936
Rain,Light,2/23/2019 18:51,2/23/2019 20:51,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/24/2019 4:40,2/24/2019 4:56,US/Eastern Frisco,Dare,27936
Fog,Severe,2/24/2019 4:56,2/24/2019 5:58,US/Eastern Frisco,Dare,27936
Fog,Severe,2/24/2019 6:30,2/24/2019 10:28,US/Eastern Frisco,Dare,27936
Fog,Severe,2/24/2019 11:49,2/24/2019 13:04,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/24/2019 13:11,2/25/2019 0:27,US/Eastern Frisco,Dare,27936
Rain,Light,2/27/2019 16:51,2/27/2019 17:51,US/Eastern Frisco,Dare,27936
Fog,Moderate,2/28/2019 14:38,2/28/2019 15:22,US/Eastern Frisco,Dare,27936
Rain,Light,3/1/2019 23:42,3/2/2019 0:14,US/Eastern Frisco,Dare,27936
Rain,Light,3/2/2019 0:51,3/2/2019 1:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/2/2019 3:31,3/2/2019 3:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/2/2019 4:59,3/2/2019 5:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/3/2019 20:36,3/3/2019 20:51,US/Eastern Frisco,Dare,27936
Rain,Moderate,3/3/2019 20:51,3/3/2019 21:09,US/Eastern Frisco,Dare,27936
Fog,Severe,3/3/2019 21:09,3/3/2019 21:27,US/Eastern Frisco,Dare,27936
Rain,Heavy,3/3/2019 21:27,3/3/2019 21:46,US/Eastern Frisco,Dare,27936
Precipitation,UNK,3/3/2019 21:46,3/3/2019 22:14,US/Eastern Frisco,Dare,27936
Rain,Moderate,3/4/2019 0:48,3/4/2019 0:55,US/Eastern Frisco,Dare,27936
Rain,Light,3/4/2019 0:55,3/4/2019 1:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/4/2019 2:51,3/4/2019 3:47,US/Eastern Frisco,Dare,27936
Rain,Moderate,3/4/2019 3:51,3/4/2019 4:38,US/Eastern Frisco,Dare,27936
Rain,Light,3/4/2019 4:38,3/4/2019 4:51,US/Eastern Frisco,Dare,27936
Rain,Moderate,3/4/2019 4:51,3/4/2019 4:55,US/Eastern Frisco,Dare,27936
Rain,Light,3/4/2019 4:55,3/4/2019 5:14,US/Eastern Frisco,Dare,27936
Rain,Moderate,3/4/2019 5:14,3/4/2019 5:46,US/Eastern Frisco,Dare,27936
Rain,Heavy,3/4/2019 5:46,3/4/2019 6:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/4/2019 8:42,3/4/2019 9:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/5/2019 10:51,3/5/2019 17:31,US/Eastern Frisco,Dare,27936
Rain,Light,3/5/2019 21:46,3/5/2019 21:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/8/2019 22:51,3/8/2019 23:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/9/2019 1:51,3/9/2019 3:51,US/Eastern Frisco,Dare,27936
Fog,Moderate,3/10/2019 21:51,3/10/2019 22:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/11/2019 6:51,3/11/2019 7:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/16/2019 8:51,3/16/2019 10:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/20/2019 9:08,3/20/2019 9:51,US/Eastern Frisco,Dare,27936
Rain,Light,3/20/2019 10:29,3/20/2019 15:26,US/Eastern Frisco,Dare,27936
Snow,Moderate,12/14/2019 21:53,12/14/2019 22:00,US/Mountain Lander,Fremont,82520
Snow,Light,12/14/2019 22:00,12/14/2019 22:53,US/Mountain Lander,Fremont,82520
Snow,Light,12/14/2019 23:24,12/14/2019 23:53,US/Mountain Lander,Fremont,82520
Snow,Light,12/15/2019 0:21,12/15/2019 2:53,US/Mountain Lander,Fremont,82520
Fog,Severe,12/27/2019 8:48,12/27/2019 9:09,US/Mountain Lander,Fremont,82520
Fog,Severe,12/27/2019 11:07,12/27/2019 11:42,US/Mountain Lander,Fremont,82520
Fog,Severe,12/27/2019 15:01,12/27/2019 17:08,US/Mountain Lander,Fremont,82520
Snow,Light,12/27/2019 17:08,12/27/2019 17:43,US/Mountain Lander,Fremont,82520
Fog,Severe,12/27/2019 17:43,12/28/2019 3:08,US/Mountain Lander,Fremont,82520
Fog,Severe,12/28/2019 3:40,12/28/2019 3:48,US/Mountain Lander,Fremont,82520
Fog,Severe,12/28/2019 3:53,12/28/2019 4:53,US/Mountain Lander,Fremont,82520
Fog,Moderate,12/28/2019 12:53,12/28/2019 13:35,US/Mountain Lander,Fremont,82520
Snow,Light,12/28/2019 13:35,12/28/2019 17:04,US/Mountain Lander,Fremont,82520
Snow,Light,12/28/2019 17:15,12/28/2019 17:53,US/Mountain Lander,Fremont,82520
