Direction,CountyCode,DistrictNumber,Latitude,Longitude
BOTH DIRECTIONS,HAM,8,39.059969,-84.416877
BOTH DIRECTIONS,HAM,8,39.170503,-84.408852
BOTH DIRECTIONS,LAK,12,41.636361,-81.437605
BOTH DIRECTIONS,CUY,12,41.476334,-81.660906
BOTH DIRECTIONS,OTT,2,41.515172,-82.94298
BOTH DIRECTIONS,CUY,12,41.490292,-81.668335
BOTH DIRECTIONS,CRA,3,40.826528,-82.973279
BOTH DIRECTIONS,STA,4,40.804822,-81.280517
BOTH DIRECTIONS,STA,4,40.826486,-81.398918
WESTBOUND,SCI,9,38.739372,-82.970599
NORTHBOUND,CUY,12,41.578996,-81.549174
WESTBOUND,CUY,12,41.475027,-81.690211
BOTH DIRECTIONS,HAM,8,39.153983,-84.443227
BOTH DIRECTIONS,COS,5,40.255056,-82.051506
WESTBOUND,ERI,3,41.349028,-82.831251
BOTH DIRECTIONS,VIN,10,39.321816,-82.405701
BOTH DIRECTIONS,STA,4,40.863991,-81.364516
BOTH DIRECTIONS,SUM,4,41.06304,-81.517555
BOTH DIRECTIONS,HAR,1,40.779366,-83.526477
BOTH DIRECTIONS,PUT,1,40.914506,-84.350756
SOUTHBOUND,JEF,11,40.56536,-80.657608
NORTHBOUND,HAN,1,41.02452,-83.676268
BOTH DIRECTIONS,PIK,9,39.130953,-82.887805
BOTH DIRECTIONS,BEL,11,39.905557,-80.90364
WESTBOUND,MOE,10,39.805745,-81.290816
WESTBOUND,CUY,12,41.503169,-81.699251
EASTBOUND,WAS,10,39.533241,-81.247419
BOTH DIRECTIONS,AUG,7,40.620346,-84.258668
BOTH DIRECTIONS,HAM,8,39.240756,-84.451678
BOTH DIRECTIONS,HAM,8,39.09284,-84.509877
BOTH DIRECTIONS,SCI,9,38.850258,-82.867943
BOTH DIRECTIONS,JEF,11,40.377617,-80.615856
BOTH DIRECTIONS,MUS,5,39.948567,-82.047369
BOTH DIRECTIONS,VIN,10,39.131066,-82.427038
BOTH DIRECTIONS,CUY,12,41.409337,-81.628261
BOTH DIRECTIONS,SUM,4,41.038599,-81.663986
WESTBOUND,FRA,6,39.884299,-83.024222
BOTH DIRECTIONS,HAM,8,39.104952,-84.501305
BOTH DIRECTIONS,WAY,3,40.962186,-82.086579
BOTH DIRECTIONS,ROS,9,39.436488,-83.222742
EASTBOUND,CLA,7,39.865379,-83.993095
BOTH DIRECTIONS,PIK,9,39.165527,-83.22064
BOTH DIRECTIONS,SCI,9,38.774274,-82.874216
BOTH DIRECTIONS,MOT,7,39.856257,-84.412929
WESTBOUND,HAM,8,39.192891,-84.477114
WESTBOUND,LOR,3,41.379491,-82.006514
WESTBOUND,OTT,2,41.50308,-82.838257
BOTH DIRECTIONS,AUG,7,40.55862,-84.320041
BOTH DIRECTIONS,SCI,9,38.758102,-82.895656
BOTH DIRECTIONS,COL,11,40.762271,-80.707861
BOTH DIRECTIONS,MAH,4,40.960712,-80.639401
WESTBOUND,LOR,3,41.376911,-82.253446
BOTH DIRECTIONS,LUC,2,41.679137,-83.574077
BOTH DIRECTIONS,WAY,3,40.953794,-82.071602
BOTH DIRECTIONS,COL,11,40.624107,-80.586743
NORTHBOUND,MOE,10,39.642723,-80.917629
EASTBOUND,MRG,10,39.652343,-81.887852
BOTH DIRECTIONS,CUY,12,41.503396,-81.651857
NORTHBOUND,CUY,12,41.501517,-81.479787
WESTBOUND,ERI,3,41.34178,-82.350765
BOTH DIRECTIONS,JAC,9,39.135152,-82.546234
NORTHBOUND,WOO,2,41.55303,-83.599076
SOUTHBOUND,FRA,6,40.097275,-83.137311
BOTH DIRECTIONS,MOE,10,39.762242,-81.116756
BOTH DIRECTIONS,AUG,7,40.661499,-84.420567
BOTH DIRECTIONS,COL,11,40.624995,-80.587419
BOTH DIRECTIONS,SUM,4,41.041634,-81.609855
BOTH DIRECTIONS,SUM,4,41.063744,-81.527123
BOTH DIRECTIONS,HAS,11,40.248186,-81.203034
BOTH DIRECTIONS,LUC,2,41.650323,-83.548893
BOTH DIRECTIONS,MAH,4,40.960161,-80.640088
BOTH DIRECTIONS,JEF,11,40.397091,-80.633082
BOTH DIRECTIONS,GRE,8,39.600795,-83.721448
BOTH DIRECTIONS,ATH,10,39.202063,-81.768834
BOTH DIRECTIONS,CAR,11,40.464114,-80.972414
