ROAD WORK ID,FROM_DATE,TO_DATE,STREET_ADDRESS
RC96,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,100 W BROADWAY
RC97,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,8010 CHRISTIAN CT
RC98,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,1334 S 3RD ST
RC99,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,600 W MARKET ST
RC100,2020-02-12T00:00:00.000Z,2020-03-29T00:00:00.000Z,1311 S SHELBY ST
RC101,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,100 E LIBERTY ST
RC102,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,117 W LIBERTY ST
RC103,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,124 E LIBERTY ST
RC104,2020-02-03T00:00:00.000Z,2020-04-03T00:00:00.000Z,140 S 4TH ST
RC105,2020-02-10T00:00:00.000Z,2020-04-06T00:00:00.000Z,133 W LIBERTY ST
RC106,2020-02-10T00:00:00.000Z,2020-04-06T00:00:00.000Z,200 ABRAHAM FLEXNER WAY
RC107,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,12500 SYCAMORE STATION PL
RC108,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,1552 KNIGHT RD
RC109,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,1500 OLEANDA CT
RC110,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,3202 GOOSE CREEK RD
RC111,2020-02-24T00:00:00.000Z,2020-04-06T00:00:00.000Z,10119 WHIPPS MILL RD
RC112,2020-02-26T00:00:00.000Z,2020-04-08T00:00:00.000Z,416 W JEFFERSON ST
RC113,2020-02-17T00:00:00.000Z,2020-04-10T00:00:00.000Z,140 N 4TH ST
RC114,2020-02-07T00:00:00.000Z,2020-04-11T00:00:00.000Z,1024 E MAIN ST
RC115,2020-02-10T00:00:00.000Z,2020-04-11T00:00:00.000Z,540 S 4TH ST
RC116,2020-02-18T00:00:00.000Z,2020-04-11T00:00:00.000Z,3441 TAYLOR BLVD
RC117,2020-02-21T00:00:00.000Z,2020-04-11T00:00:00.000Z,418 PINE ST
RC118,2020-02-17T00:00:00.000Z,2020-04-13T00:00:00.000Z,2015 GARDINER LN
RC119,2020-02-07T00:00:00.000Z,2020-04-15T00:00:00.000Z,1238 HULL ST
RC120,2020-02-19T00:00:00.000Z,2020-04-15T00:00:00.000Z,400 S 4TH ST Unit 160
