Accident Ref No.,Casualty Class,Sex of Casualty
10AA0002096,Driver,Male
10AA0002096,Passenger,Male
10AA0002096,Passenger,Male
10AA0002096,Passenger,Male
10BA0002028,Driver,Male
10BA0002028,Driver,Male
10BA0002032,Driver,Female
10BA0002035,Driver,Male
10BA0002363,Passenger,Male
10CA0001922,Pedestrian,Female
10CA0001937,Passenger,Male
10AA0002070,Pedestrian,Male
10AA0002072,Passenger,Male
10AA0002077,Pedestrian,Female
10CA0001991,Driver,Male
10CA0002111,Driver,Male
10AA0002078,Driver,Male
10AA0002078,Pedestrian,Male
10AA0002089,Driver,Female
10AA0002089,Passenger,Male
10AA0002185,Pedestrian,Male
10BA0002030,Driver,Male
10BA0002085,Driver,Male
10BA0002085,Driver,Female
10BA0002139,Driver,Female
10CA0002001,Driver,Male
10CA0002040,Driver,Male
10MU0002003,Driver,Male
10AA0002113,Driver,Male
10BA0002068,Driver,Male
10MU0002002,Driver,Male
10MU0002002,Passenger,Female
10MU0002056,Driver,Male
10MU0002056,Passenger,Female
10MU0002056,Passenger,Female
10BA0002081,Driver,Female
10BA0002266,Driver,Male
10CA0002074,Passenger,Female
10CA0002214,Driver,Male
10CA0002341,Driver,Male
10BA0002151,Driver,Male
10CA0002128,Driver,Male
10CA0002166,Pedestrian,Female
10BA0002228,Driver,Male
10BA0003378,Driver,Male
10CA0002186,Passenger,Female
10CA0002292,Driver,Male
10CA0002292,Passenger,Female
10CA0002292,Passenger,Female
10CA0002343,Passenger,Female
10CA0002343,Passenger,Female
10CA0002343,Passenger,Female
10MU0002161,Driver,Female
10BA0002220,Driver,Female
10BA0002286,Driver,Female
10BA0002286,Passenger,Female
10CA0002177,Driver,Female
10MU0002211,Driver,Female
10MU0002211,Driver,Male
10AA0002168,Driver,Female
10AA0002173,Driver,Male
10AA0002173,Driver,Male
10AA0002244,Pedestrian,Male
10BA0002299,Pedestrian,Female
10BA0002313,Driver,Male
10BA0002313,Driver,Male
10BA0002313,Passenger,Male
10BA0002423,Driver,Female
10BA0126930,Driver,Male
10CA0002250,Pedestrian,Male
10AA0002233,Driver,Male
10AA0002233,Passenger,Female
10AA0002233,Driver,Male
10AA0002233,Passenger,Male
10AA0002245,Driver,Male
10AA0002317,Driver,Male
10AA0002320,Passenger,Female
10BA0002218,Driver,Female
10BA0002218,Passenger,Female
10CA0002210,Pedestrian,Male
10AA0002230,Pedestrian,Male
10BA0002197,Pedestrian,Male
10BA0002239,Driver,Male
10BA0002301,Driver,Female
10CA0002206,Pedestrian,Female
10CA0002213,Driver,Male
10CA0002291,Driver,Female
10MU0002457,Passenger,Female
10BA0002372,Driver,Male
10CA0002297,Driver,Male
10CA0002302,Passenger,Male
10CA0002312,Driver,Male
10CA0002336,Passenger,Male
10AA0002368,Driver,Female
10AA0002370,Passenger,Female
10AA0003115,Driver,Male
10BA0002340,Passenger,Female
10BA0002344,Driver,Male
10BA0002380,Driver,Female
10BA0002380,Passenger,Male
10BA0002380,Passenger,Male
10MU0002347,Driver,Female
10AA0002376,Pedestrian,Female
10BA0002414,Pedestrian,Female
10BA0002417,Passenger,Female
10BA0002435,Driver,Female
10BA0002498,Driver,Female
10CA0002558,Driver,Male
10CA0002558,Passenger,Female
10AA0002387,Pedestrian,Male
10BA0002482,Driver,Male
10CA0002361,Passenger,Male
10CA0002390,Driver,Male
10CA0002392,Passenger,Female
10CA0002422,Pedestrian,Male
10CA0002468,Pedestrian,Female
10CA0002561,Driver,Female
10MU0002409,Driver,Male
10MU0002409,Driver,Male
10MU0002433,Driver,Female
10MU0002450,Driver,Female
10AA0002375,Driver,Female
10AA0002395,Driver,Male
10AA0002442,Passenger,Male
10AA0002442,Passenger,Male
10AA0002442,Driver,Male
10BA0002438,Pedestrian,Male
10BA0002454,Driver,Male
10BA0002454,Passenger,Male
10BA0002454,Passenger,Female
10BA0002464,Driver,Female
10BA0002464,Driver,Female
10BA0002473,Pedestrian,Male
10CA0002554,Driver,Male
10CA0002554,Passenger,Female
10CA0002563,Driver,Male
10AA0002360,Driver,Male
10AA0002360,Passenger,Male
10AA0002360,Passenger,Male
10AA0002360,Passenger,Male
10BA0002471,Driver,Male
10BA0003351,Passenger,Female
10BA0003451,Driver,Male
10CA0002472,Driver,Female
10CA0002472,Passenger,Female
10AA0002386,Driver,Male
10AA0002698,Driver,Male
10AA0002698,Driver,Female
10BA0002467,Pedestrian,Male
10BA0004480,Driver,Male
10CA0002743,Driver,Male
10AA0002388,Driver,Female
10AA0002388,Driver,Male
10AA0002388,Passenger,Female
10AA0002673,Driver,Female
10MU0139624,Driver,Male
10AA0002507,Driver,Female
10AA0002507,Driver,Female
10AA0002644,Driver,Male
10BA0002530,Pedestrian,Female
10MU0002531,Pedestrian,Male
10AA0002520,Driver,Male
10AA0002520,Driver,Male
10AA0002520,Passenger,Female
10AA0002520,Passenger,Female
10AA0002533,Driver,Male
10AA0002533,Driver,Male
10AA0002533,Driver,Female
10BA0002613,Driver,Male
